codigoSap,denominacion,nivel,direccion,poblacion,distrito
2108,ALMACENERA TRUJILLO,1,AV. TOMAS VALLE NRO. 4330 Z.I. URB. BOCANEGRAALMACENERA TRUJILLO,CALLAO,CALLAO
2109,ATSA 3,1,AV. NESTOR GAMBETTA 9996 AL 9998,CALLAO,CALLAO
2110,ALMACEN RANSA COMERCIAL,1,AV. NESTOR GAMBETTA KM. 14.5,CALLAO,CALLAO
2111,RANSA GRANEL,1,AV. ARGENTINA 28330623 DEPOSITO,CALLAO,CALLAO
2112,ESMERALDA - CT LIMA,1,AV. PANAMERICANA SUR KM. 18.5MZA. G LOTE. 1-B,LIMA,SAN JUAN DE MIRAFLORES
2113,ALFRIMAC - CT LIMA,1,CAL.MICAELA BASTIDAS NRO. 160 URB.ZONA INDUSTRIAL (SECTOR 0113 MZ I-4LT 16),CALLAO,VENTANILLA
2114,EXALMAR - CT ICA,1,AV. SECTOR ZONA INDUSTRIAL NRO.S/N Z.I. CANCHAMANA,CHINCHA,TAMBO DE MORA
2115,DEPSA - CT PIURA,1,CAR. PAITA SULLANA KM. 2 Z.I. II  SECTOR E,PAITA,PAITA
2116,FRIALSA - CT LIMA,1,CAR. PANAMERICANA SUR KM 29.5LOTE 2,LIMA,LURIN
2900,Central Terceros - ATSAC,1,PAN. NORTE KM 562,TRUJILLO,TRUJILLO
2901,Central Terceros - PAITA,1,AV. PANAMERICANA KM.4 MZ. A-7 LT-7 CC SAN FRANCISCO DE LA BUENA,PIURA,PAITA
2902,Central Terceros - PIURA,1,JR. FERROCARRIL NRO 127,PIURA,PIURA
2903,Central Terceros - RANSA,1,PROLONGACION GONZALES PRADA KM 562,TRUJILLO,MOCHE
2904,Central Terceros - SALAVERRY,1,CALLE CORDOVA S/N - ENAPU,TRUJILLO,SALAVERRY
2905,Central Terceros - SULLANA,1,AV. PAN. NORTE KM 4 MZ. A7 LT 7,SULLANA,SULLANA
2906,Central Terceros - TRANSPESA,1,PARCELA RUSTICA 4808 URB. FUNDO LAREA,TRUJILLO,MOCHE
3001,Feria 1,1,JR. PORTOCARRERO 344,LIMA,SURQUILLO
3002,Feria 2,1,AV. LOS ANGELES 695 - NRO. 697 URB.RETABLO (COMPLEJO COMERCIAL UNICACHI),LIMA,COMAS
3003,Feria 3,1,CAL.GERMAN AMEZAGA NRO. S/N (PUERTA 7 UNMSM ALTURA CRUCE O.BENAVIDES),LIMA,LIMA
3004,Feria 4,1,EL DERBY NRO. SN (PUERTA 3),LIMA,SANTIAGO DE SURCO
3005,Feria 5,1,AV. ANGEL.GAMARRA LEON VELARD NRO.S/N (ESTADIO GUADALUPANO),LIMA,LOS OLIVOS
3006,Feria 6,1,AV. PEDRO MIOTTA NRO. 221 ASC.CIUDAD DE LOS NIÑOS DE LA INMACULADA,LIMA,SAN JUAN DE MIRAFLORES
3007,Feria 7,1,AV. FERNANDO WIESE KM. 10.5(ESPALDA DEL COMPLEJO IPD BAYOVAR),LIMA,SAN JUAN DE LURIGANCHO
3008,Feria 8,1,AV. DE LA CULTURA NRO. 701 (AUDITORIO ASOCIACION PROD.AGRICOLAS MCDO),LIMA,SANTA ANITA
3009,Feria 9,1,AV. SAN JUAN MZA. F LOTE. 6 URB. LAS VEGAS 1 ETAPA,LIMA,PUENTE PIEDRA
3010,Feria 10,1,AV. EL SOL N° 1395,LIMA,CHORRILLOS
3011,Feria 11,1,NO UBICADO,LIMA,SURQUILLO
3012,Feria de Trujillo,1,PROLONGACIÓN AV. FATIMA S/N- LA ENCALADA (A 3 CUADRAS DEL C.C. REALPLAZA TRUJILLO),TRUJILLO,TRUJILLO
3013,Feria de Huancayo,1,JR. PROLONG LIBERTAD NRO. 2755,HUANCAYO,TAMBO
3014,Feria de Arequipa,1,AV. DANIEL ALCIDES CARRIÓN 168.CERCADO (FRENTE A LA FACULTAD DEMEDICINA UNIVERSIDAD SAN AGUSTIN),AREQUIPA,AREQUIPA
3015,Feria de Chiclayo,1,AV. PASEO DEL DEPORTE N° 180(MINI-COLISEO DEL ESTADIO ELIAS AGUIRRE),CHICLAYO,CHICLAYO
3016,Pavicar 1,1,AV. JAVIER PRADO NRO. 7596,LIMA,ATE
3100,TIENDA SAN FERNANDO,1,ASENTAMIENTO HUMANO LOS JAZMINES DELNARANJAL CALLE 24 MZ B2  LOTE 2,LIMA,LOS OLIVOS
3400,Tienda Chiclayo,1,AV. SAENZ PEÑA 1328,CHICLAYO,CHICLAYO
3401,Tienda Piura Grau,1,AV. GRAU NRO. 1721 URB. POP. SAN JOSE,PIURA,PIURA
3402,Tienda Piura Loreto,1,AV. LORETO NORTE NRO. 135 (TIENDA NRO 1),PIURA,PIURA
3403,Tienda Tumbes,1,AV. TUMBES NORTE NRO. 230,TUMBES,TUMBES
3404,Tienda Chimbote,1,SECTOR 5D MZA. 2 LOTE. 14 URB. BUENOS AIRES,CHIMBOTE,NUEVO CHIMBOTE
3405,Tienda Trujillo Encalada,1,MZA. E LOTE 29 URB. INGENIERIA,TRUJILLO,TRUJILLO
3406,Tienda Trujillo España,1,AV ESPAÑA 1338,TRUJILLO,TRUJILLO
3407,Tienda Trujillo Larco,1,AV. LARCO NRO. 1357,TRUJILLO,TRUJILLO
3408,Tienda Trujillo Noria,1,URB. PALERMO AV. AMERICA SUR 496,TRUJILLO,TRUJILLO
3409,Tienda Trujillo Porvenir,1,JR. MICAELA BASTIDAS Nº 1289 SECTOR CENTRAL BARRIO 2,TRUJILLO,EL PORVENIR
3410,Tienda Trujillo Quintanas,1,AV. AMERICA NORTE 2213 URB. LAS QUINTANAS,TRUJILLO,TRUJILLO
3501,Oficina Chilca,1,AV. LAS PALMERAS MZA. 0 LOTE. 24 URB. PAPA LEON XIII,CAÑETE,CHILCA
3502,Oficina Chincha,1,CAR. PANAMERICANA SUR KM. 196. TOMA DE ALTO,CHINCHA,GROCIO PRADO
3503,Oficina Ponedoras,1,CAR. PANAMERICANA SUR KM. 32.2 FUNDO SANTA ROSA,LIMA,LURIN
3504,Oficina ex - Oap centro,1,AV. LOS ROSALES MZA. C LOTE. 4,LIMA,PACHACAMAC
3505,Oficina Mala,1,CAR. PANAMERICANA SUR KM. 86 FND. LUMBRERAS,CAÑETE,MALA
3506,Oficina Barranca,1,JR. JOSE GALVEZ NRO. 2201 (PANAMERICANA NORTE   KM - 194),BARRANCA,BARRANCA
3507,Oficina Surquillo,1,AV. REPUBLICA DE PANAMA NRO. 4295,LIMA,SURQUILLO
3508,Oficina Chancay,1,CAL. LUIS FELIPE DEL SOLAR NRO. 444,HUARAL,CHANCAY
3509,Oap chilca pavos,1,AV. LAS PALMERAS MZA. 0 LOTE. 24 URB. PAPA LEON XIII,CAÑETE,CHILCA
3510,Oficina Pollo Sur,1,CAR. PANAMERICANA KM. 219,PISCO,SAN CLEMENTE
3511,Oficina Pollo Norte,1,Mz. O LOTE. 9 SECCION VICTORIA,HUARAL,HUARAL
3900,Laboratorio Piura,1,JR. ZELAYA MZ. Z LT. 02 URB. EMPLEADOS MUNICIPALES,PIURA,PIURA
3901,Laboratorio Trujillo,1,CAR. VILLA DEL MAR KM3 MZ B LOTE 8-9,TRUJILLO,HUANCHACO
3902,Oficina Central Piura,1,CAL. HUANCAVELICA 1055 URB. 4 DE ENERO,PIURA,PIURA
3903,Oficina Central Trujillo,1,AV ESPAÑA 1340,TRUJILLO,TRUJILLO
3904,Oficina Ingenieria,1,MZ. C-1 LT.01 URB. SEMI RUSTICA SANTO TOMAS,TRUJILLO,TRUJILLO
3905,Oficina Quintanas Trujillo,1,AV. AMERICA NORTE 2213 URB. LAS QUINTANAS,TRUJILLO,TRUJILLO
3906,Oficina Nepeña Ancash,1,AV. MIGUEL GRAU MZ.2 URB. LAS GARDENIAS,SANTA,NEPEÑA
3907,Oficina Tumbes,1,JR. FILIPINAS 221 CERCADO,TUMBES,TUMBES
4001,PI Mala,1,CAR. PANAMERICANA SUR KM. 86 FND. LUMBRERAS,CAÑETE,MALA
4002,PI Chincha,1,CAR. PANAMERICANA SUR KM. 196. TOMADE ALTO,CHINCHA,GROCIO PRADO
